id_customer,is_male,age,age_segment,total_buy,month_buy_rate,average_basket_size
c_329,False,55,51 +,452,2,2
c_664,True,62,51 +,732,3,1
c_7912,False,33,31 - 50,1537,9,2
c_4908,False,41,31 - 50,1701,10,2
c_7991,True,54,51 +,409,2,1
c_580,True,34,31 - 50,1815,11,2
c_6171,True,39,31 - 50,923,5,2
c_2218,False,52,51 +,1261,6,1
c_7439,False,31,31 - 50,864,5,2
c_2505,False,40,31 - 50,1902,11,2
c_5479,False,51,51 +,740,4,1
c_7726,False,47,31 - 50,1287,7,2
c_7222,False,26,18 - 30,953,2,1
c_443,False,35,31 - 50,1130,6,2
c_6983,True,33,31 - 50,1813,12,2
c_5228,False,59,51 +,143,1,2
c_1265,True,60,51 +,716,3,1
c_4348,True,48,31 - 50,455,3,2
c_2157,True,51,51 +,523,3,1
c_5782,False,47,31 - 50,1321,8,2
c_1492,True,40,31 - 50,1142,6,2
c_4187,False,41,31 - 50,95,1,2
c_2711,False,39,31 - 50,769,4,2
c_5714,False,50,31 - 50,523,4,2
c_761,False,23,18 - 30,676,2,2
c_5794,False,64,51 +,366,2,1
c_2039,False,40,31 - 50,1725,10,2
c_2285,False,45,31 - 50,733,4,2
c_7543,True,35,31 - 50,391,2,2
c_2637,True,56,51 +,1148,6,1
c_6717,True,55,51 +,598,3,1
c_806,False,47,31 - 50,397,2,2
c_4500,False,44,31 - 50,1043,6,2
c_1478,False,50,31 - 50,1523,9,2
c_5270,True,41,31 - 50,1364,8,2
c_7470,False,63,51 +,753,4,2
c_7467,True,22,18 - 30,841,2,2
c_3602,False,57,51 +,388,2,1
c_4810,False,34,31 - 50,1287,8,2
c_7299,True,39,31 - 50,1066,7,2
c_2940,False,40,31 - 50,805,5,2
c_6917,False,38,31 - 50,730,5,2
c_1969,False,30,18 - 30,737,2,1
c_6354,False,30,18 - 30,447,2,2
c_172,True,60,51 +,591,3,2
c_1112,False,35,31 - 50,561,3,2
c_1464,False,36,31 - 50,1363,8,2
c_7908,False,21,18 - 30,644,2,2
c_6894,False,34,31 - 50,940,6,2
c_6445,True,29,18 - 30,724,2,1
c_2161,True,58,51 +,482,2,1
c_1856,True,46,31 - 50,294,2,2
c_3210,False,39,31 - 50,457,3,2
c_6594,True,58,51 +,211,1,1
c_1544,False,45,31 - 50,727,5,2
c_6810,False,52,51 +,791,4,2
c_4929,True,56,51 +,293,2,2
c_3479,False,39,31 - 50,1228,7,2
c_5609,True,41,31 - 50,1398,8,2
c_856,True,58,51 +,419,2,1
c_6538,True,43,31 - 50,1433,9,2
c_5610,True,37,31 - 50,915,5,2
c_7456,False,37,31 - 50,1082,7,2
c_2265,True,54,51 +,1240,6,1
c_5680,True,50,31 - 50,1594,8,2
c_5416,False,52,51 +,754,4,1
c_5276,True,52,51 +,1033,5,1
c_1189,True,37,31 - 50,982,6,2
c_2582,True,58,51 +,743,4,1
c_3590,True,25,18 - 30,444,1,3
c_1876,True,39,31 - 50,2232,13,2
c_563,False,20,18 - 30,473,2,2
c_3854,False,44,31 - 50,1021,6,2
c_8533,True,50,31 - 50,244,2,2
c_5525,True,63,51 +,414,2,1
c_4336,True,28,18 - 30,281,1,1
c_3917,False,63,51 +,524,3,1
c_5317,True,59,51 +,70,0,1
c_131,True,41,31 - 50,1898,11,2
c_1347,True,39,31 - 50,1588,10,2
c_6311,False,53,51 +,945,4,1
c_3646,True,46,31 - 50,467,2,1
c_892,True,45,31 - 50,502,3,2
c_550,False,53,51 +,753,4,1
c_7246,True,46,31 - 50,970,6,2
c_6280,False,55,51 +,342,2,2
c_6739,True,53,51 +,409,2,1
c_6926,True,34,31 - 50,261,2,2
c_1857,False,32,31 - 50,1184,7,2
c_6935,True,44,31 - 50,426,2,2
c_6170,False,48,31 - 50,378,2,2
c_8163,False,40,31 - 50,1744,11,2
c_1769,True,26,18 - 30,423,1,2
c_8607,True,48,31 - 50,579,4,2
c_1460,True,33,31 - 50,576,4,2
c_3892,False,39,31 - 50,1819,11,3
c_5195,True,22,18 - 30,427,1,2
c_2682,True,46,31 - 50,203,1,2
c_6164,True,54,51 +,702,4,1
c_7575,True,49,31 - 50,375,2,2
c_2595,True,48,31 - 50,2254,14,2
c_7660,True,29,18 - 30,436,1,1
c_6105,False,53,51 +,884,4,1
c_4161,True,43,31 - 50,1122,6,2
c_6664,False,32,31 - 50,1371,8,2
c_5062,True,34,31 - 50,1766,11,2
c_1348,False,25,18 - 30,137,1,4
c_6189,False,38,31 - 50,1305,8,2
c_8365,True,44,31 - 50,1141,7,2
c_4526,True,32,31 - 50,1236,8,2
c_3112,True,54,51 +,198,1,2
c_8333,True,59,51 +,1008,5,1
c_5449,True,38,31 - 50,2011,11,2
c_6057,True,36,31 - 50,1396,8,2
c_3129,False,40,31 - 50,506,3,2
c_4466,True,62,51 +,259,1,1
c_4536,False,19,18 - 30,860,2,1
c_5613,False,52,51 +,882,5,1
c_4435,True,55,51 +,262,1,2
c_6536,True,35,31 - 50,1829,11,2
c_7565,False,34,31 - 50,884,5,3
c_6842,False,62,51 +,173,1,2
c_6888,True,42,31 - 50,303,2,2
c_4092,False,30,18 - 30,1540,3,1
c_3755,True,43,31 - 50,1095,6,2
c_6606,True,44,31 - 50,430,3,2
c_5520,False,39,31 - 50,767,5,2
c_8277,False,45,31 - 50,535,3,2
c_2723,True,31,31 - 50,55,0,1
c_6882,False,58,51 +,741,4,2
c_3341,False,52,51 +,439,2,1
c_3474,True,47,31 - 50,797,5,2
c_4057,True,41,31 - 50,1286,8,2
c_5534,True,34,31 - 50,677,4,2
c_391,False,36,31 - 50,1935,12,2
c_6951,True,35,31 - 50,724,5,2
c_371,True,31,31 - 50,299,2,2
c_6285,False,31,31 - 50,778,5,2
c_5739,True,29,18 - 30,1050,3,2
c_6782,False,21,18 - 30,944,2,1
c_3856,False,50,31 - 50,697,5,2
c_8512,True,56,51 +,749,4,1
c_6906,True,36,31 - 50,1408,9,2
c_1599,True,57,51 +,68,0,2
c_1718,False,49,31 - 50,1059,7,2
c_7817,True,50,31 - 50,1433,9,2
c_226,True,38,31 - 50,1578,10,2
c_493,False,47,31 - 50,1177,7,2
c_1545,True,49,31 - 50,553,3,2
c_7241,True,36,31 - 50,561,3,2
c_4832,False,25,18 - 30,416,2,2
c_8242,True,29,18 - 30,834,2,1
c_2375,True,48,31 - 50,1540,9,2
c_780,True,33,31 - 50,671,4,2
c_1312,False,55,51 +,106,1,1
c_5758,True,44,31 - 50,240,1,2
c_482,False,63,51 +,365,2,1
c_4015,True,36,31 - 50,1187,7,2
c_50,False,28,18 - 30,1186,2,1
c_572,True,48,31 - 50,1763,11,2
c_2006,False,35,31 - 50,795,5,2
c_2865,True,42,31 - 50,746,4,2
c_4837,True,36,31 - 50,834,4,2
c_6792,False,31,31 - 50,839,5,2
c_3599,False,23,18 - 30,284,1,2
c_2347,False,42,31 - 50,432,3,2
c_6565,False,33,31 - 50,872,5,2
c_1255,True,34,31 - 50,581,4,2
c_874,True,64,51 +,472,2,1
c_2449,False,47,31 - 50,1629,9,2
c_3236,False,55,51 +,837,4,1
c_2849,True,33,31 - 50,660,4,2
c_7403,False,52,51 +,1155,6,1
c_7670,False,38,31 - 50,935,6,2
c_2494,True,20,18 - 30,578,2,2
c_4103,False,42,31 - 50,1437,9,2
c_1352,False,46,31 - 50,407,2,2
c_624,True,42,31 - 50,1174,7,2
c_5212,False,43,31 - 50,1753,11,2
c_5342,True,60,51 +,270,1,2
c_7075,True,34,31 - 50,858,4,2
c_1549,True,35,31 - 50,415,3,2
c_630,True,64,51 +,522,2,1
c_5636,False,33,31 - 50,1469,9,2
c_1687,False,60,51 +,248,1,2
c_3194,True,48,31 - 50,448,3,2
c_3547,True,51,51 +,203,1,1
c_157,True,51,51 +,504,2,1
c_4788,True,38,31 - 50,1686,10,2
c_2155,False,64,51 +,879,4,1
c_3637,True,43,31 - 50,780,5,2
c_1631,False,41,31 - 50,706,4,2
c_5011,False,47,31 - 50,1614,10,2
c_1552,False,51,51 +,316,2,1
c_510,True,56,51 +,409,2,1
c_7601,False,45,31 - 50,1352,8,2
c_7820,True,41,31 - 50,895,5,2
c_3291,False,27,18 - 30,877,3,2
c_164,False,61,51 +,506,2,1
c_6622,True,34,31 - 50,1043,6,2
c_2496,True,64,51 +,261,2,1
c_5299,False,55,51 +,480,2,1
c_155,False,19,18 - 30,480,2,2
c_938,True,55,51 +,933,5,1
c_6007,False,50,31 - 50,1727,10,2
c_3389,True,53,51 +,450,2,2
c_7854,True,34,31 - 50,1075,6,2
c_8582,True,59,51 +,1308,7,1
c_5437,False,49,31 - 50,885,5,2
c_1960,False,62,51 +,234,1,2
c_6403,True,42,31 - 50,1207,7,2
c_4719,True,42,31 - 50,1459,9,2
c_5152,False,36,31 - 50,1488,9,2
c_1997,False,61,51 +,161,1,1
c_6182,False,44,31 - 50,1361,8,2
c_3745,False,31,31 - 50,1060,7,2
c_2405,True,50,31 - 50,736,4,2
c_344,True,57,51 +,1194,6,1
c_514,True,36,31 - 50,270,1,2
c_1782,False,34,31 - 50,1695,11,2
c_8023,True,34,31 - 50,1221,8,2
c_6823,True,64,51 +,625,3,1
c_6587,False,44,31 - 50,673,4,3
c_5042,True,27,18 - 30,916,2,1
c_6253,False,36,31 - 50,1435,8,2
c_7532,False,49,31 - 50,511,3,2
c_996,False,52,51 +,640,3,1
c_2389,True,31,31 - 50,479,3,2
c_6990,False,36,31 - 50,1629,10,2
c_2721,True,45,31 - 50,934,6,2
c_8431,False,37,31 - 50,423,3,2
c_1716,False,45,31 - 50,1104,6,2
c_5459,True,45,31 - 50,1126,7,2
c_5638,True,32,31 - 50,610,3,2
c_8062,False,57,51 +,621,3,1
c_6201,False,62,51 +,696,4,1
c_13,False,40,31 - 50,1084,7,2
c_8226,True,64,51 +,528,2,1
c_2410,True,31,31 - 50,920,6,2
c_8610,True,62,51 +,781,4,1
c_7212,False,47,31 - 50,1642,10,2
c_6695,False,42,31 - 50,656,4,2
c_7197,False,62,51 +,351,2,1
c_4696,False,40,31 - 50,293,2,3
c_4972,True,51,51 +,691,4,1
c_8078,True,44,31 - 50,872,5,2
c_1031,False,59,51 +,1220,6,1
c_7982,True,44,31 - 50,443,2,2
c_6338,False,36,31 - 50,93,0,2
c_7832,True,42,31 - 50,1267,7,2
c_4267,True,38,31 - 50,565,3,2
c_6076,False,32,31 - 50,999,6,2
c_3999,False,43,31 - 50,178,1,2
c_2942,True,62,51 +,665,3,1
c_8225,True,22,18 - 30,868,2,2
c_5363,False,40,31 - 50,478,3,2
c_1074,False,44,31 - 50,2014,12,2
c_4156,False,48,31 - 50,1764,10,2
c_3757,False,63,51 +,446,2,2
c_1472,False,49,31 - 50,864,5,2
c_8468,True,35,31 - 50,888,5,2
c_2219,False,22,18 - 30,177,0,1
c_5866,False,62,51 +,336,2,2
c_1384,True,48,31 - 50,879,5,2
c_6511,False,43,31 - 50,1066,7,2
c_6497,True,63,51 +,742,4,1
c_8303,True,32,31 - 50,1464,9,2
c_1743,True,52,51 +,726,3,1
c_3908,False,53,51 +,520,2,1
c_1229,False,48,31 - 50,1229,8,2
c_3503,True,42,31 - 50,1040,7,2
c_3779,False,32,31 - 50,162,1,3
c_5991,False,64,51 +,344,2,1
c_6653,True,23,18 - 30,499,1,1
c_2851,False,36,31 - 50,511,3,2
c_1713,True,41,31 - 50,837,5,2
c_6584,True,36,31 - 50,869,5,2
c_1381,False,40,31 - 50,1061,7,2
c_2118,True,32,31 - 50,1001,6,2
c_3776,False,54,51 +,407,2,2
c_5196,True,46,31 - 50,752,4,2
c_5741,False,62,51 +,674,4,1
c_4800,False,26,18 - 30,269,1,2
c_7679,False,39,31 - 50,702,4,2
c_5330,True,32,31 - 50,573,4,2
c_1202,True,44,31 - 50,712,4,2
c_4511,False,45,31 - 50,1471,9,2
c_1809,True,22,18 - 30,669,2,2
c_3453,False,43,31 - 50,1120,8,3
c_3267,False,24,18 - 30,464,1,2
c_1504,False,50,31 - 50,361,2,2
c_1932,False,26,18 - 30,40,0,1
c_640,False,33,31 - 50,1027,6,2
c_3032,True,36,31 - 50,1369,8,2
c_1938,False,43,31 - 50,1869,10,2
c_2551,False,31,31 - 50,1524,9,2
c_7408,True,43,31 - 50,185,1,2
c_5452,False,41,31 - 50,493,3,2
c_4002,False,28,18 - 30,528,1,1
c_2446,False,34,31 - 50,930,6,2
c_2379,True,49,31 - 50,549,3,3
c_8197,True,36,31 - 50,1343,8,2
c_5253,False,26,18 - 30,297,1,1
c_4450,False,45,31 - 50,1096,7,2
c_2247,False,35,31 - 50,136,1,1
c_7499,False,45,31 - 50,1639,10,2
c_1177,False,45,31 - 50,1301,8,2
c_6617,False,46,31 - 50,1348,8,2
c_6377,False,39,31 - 50,613,3,2
c_4547,True,43,31 - 50,964,6,2
c_68,False,63,51 +,234,1,2
c_5764,False,19,18 - 30,530,2,2
c_7563,False,23,18 - 30,289,1,2
c_5533,False,57,51 +,519,2,1
c_4492,False,42,31 - 50,1943,12,2
c_3672,False,60,51 +,1428,7,1
c_2579,True,40,31 - 50,1250,8,2
c_1724,False,37,31 - 50,1634,10,2
c_2380,True,31,31 - 50,1648,10,2
c_238,False,33,31 - 50,1006,6,2
c_5737,True,41,31 - 50,1546,10,2
c_2187,False,41,31 - 50,684,4,2
c_5858,True,38,31 - 50,647,4,3
c_4453,True,41,31 - 50,995,6,2
c_8191,True,44,31 - 50,842,5,2
c_3820,False,47,31 - 50,311,2,2
c_3825,True,29,18 - 30,510,2,2
c_6929,False,35,31 - 50,916,6,2
c_6543,False,60,51 +,890,5,1
c_2253,True,55,51 +,462,2,1
c_896,False,45,31 - 50,524,3,2
c_5886,False,53,51 +,779,4,1
c_711,True,47,31 - 50,543,3,2
c_6568,True,44,31 - 50,390,2,3
c_7805,False,53,51 +,663,3,1
c_4763,True,35,31 - 50,748,4,2
c_5365,True,29,18 - 30,651,1,2
c_6003,False,42,31 - 50,1388,8,2
c_5143,True,34,31 - 50,1614,10,2
c_3977,False,46,31 - 50,1205,6,2
c_2156,True,44,31 - 50,1486,9,2
c_1275,False,58,51 +,378,2,2
c_4095,True,31,31 - 50,848,5,2
c_5354,False,53,51 +,1067,6,1
c_192,False,19,18 - 30,1297,2,1
c_3388,True,33,31 - 50,171,1,2
c_6404,False,57,51 +,982,5,1
c_7852,True,43,31 - 50,507,3,2
c_573,False,51,51 +,457,2,1
c_4124,False,39,31 - 50,1079,7,2
c_2703,False,38,31 - 50,1133,6,2
c_2035,False,46,31 - 50,203,1,2
c_5921,True,44,31 - 50,1764,11,2
c_1442,False,33,31 - 50,1328,8,2
c_4573,False,52,51 +,424,2,1
c_1739,False,58,51 +,798,4,1
c_3678,False,53,51 +,702,3,1
c_6328,True,46,31 - 50,1249,7,2
c_3095,True,41,31 - 50,202,1,2
c_7585,True,28,18 - 30,104,0,2
c_3681,True,38,31 - 50,1558,9,2
c_161,False,39,31 - 50,2077,13,2
